Record ID,Стать,Вік у роках
1,Жінка,31
2,Жінка,22
3,Чоловік,28
4,Чоловік,26
5,Жінка,29
5-1,Жінка,42
5-3,Жінка,27
5-4,Чоловік,57
5-5,Чоловік,42
5-6,Чоловік,16
5-7,Жінка,35
5-8,Чоловік,38
5-10,Чоловік,44
5-11,Чоловік,23
5-12,Чоловік,24
5-13,Чоловік,19
5-14,Жінка,51
5-16,Жінка,42
5-17,Жінка,41
5-18,Чоловік,22
5-20,Жінка,26
5-21,Чоловік,44
5-22,Жінка,39
5-23,Жінка,45
5-24,Жінка,31
5-25,Жінка,34
5-26,Жінка,34
5-27,Жінка,39
5-28,Чоловік,34
5-29,Жінка,35
5-30,Жінка,23
5-31,Жінка,19
5-32,Чоловік,23
5-33,Жінка,60
5-35,Жінка,24
5-36,Жінка,25
5-37,Чоловік,15
5-38,Жінка,24
5-39,Чоловік,45
5-40,Жінка,18
5-42,Жінка,27
5-43,Чоловік,39
5-44,Чоловік,46
5-45,Жінка,31
5-46,Жінка,48
5-47,Жінка,26
5-48,Жінка,44
5-49,Чоловік,18
5-50,Жінка,55
5-51,Жінка,31
5-52,Чоловік,36
5-53,Жінка,20
5-54,Жінка,34
5-55,Жінка,31
5-56,Жінка,18
5-57,Чоловік,21
5-58,Чоловік,40
5-59,Чоловік,32
5-60,Жінка,27
5-61,Жінка,54
5-62,Жінка,38
5-63,Жінка,20
5-64,Жінка,21
5-65,Жінка,26
5-66,Жінка,22
5-67,Жінка,24
5-69,Чоловік,48
5-70,Жінка,27
5-71,Жінка,40
5-72,Жінка,41
5-73,Жінка,45
5-74,Чоловік,44
5-75,Чоловік,44
5-76,Чоловік,21
5-77,Жінка,28
5-78,Жінка,27
5-79,Жінка,44
5-80,Жінка,23
5-82,Жінка,40
5-83,Жінка,28
5-84,Жінка,25
5-85,Жінка,45
5-86,Чоловік,48
5-87,Чоловік,34
5-88,Чоловік,41
5-89,Жінка,36
5-90,Жінка,27
5-91,Жінка,41
5-92,Жінка,29
5-93,Чоловік,44
5-94,Жінка,46
5-95,Жінка,28
5-96,Жінка,21
5-97,Жінка,27
5-98,Чоловік,26
5-99,Жінка,25
5-100,Жінка,46
5-101,Чоловік,67
5-102,Жінка,50
5-103,Жінка,22
5-104,Жінка,36
5-105,Чоловік,26
5-106,Жінка,38
5-107,Чоловік,44
5-108,Жінка,44
5-109,Чоловік,53
5-110,Чоловік,19
5-111,Жінка,38
5-114,Жінка,60
5-115,Жінка,43
5-118,Жінка,
5-119,Жінка,45
5-120,Чоловік,50
5-121,Жінка,19
5-122,Жінка,15
5-123,Жінка,25
5-124,Жінка,29
5-125,Жінка,17
5-126,Жінка,40
5-127,Жінка,63
5-128,Жінка,35
5-129,Жінка,35
5-130,Чоловік,43
5-131,Чоловік,31
5-132,Жінка,29
5-133,Жінка,16
5-134,Чоловік,15
5-135,Чоловік,16
5-136,Жінка,19
5-137,Жінка,40
5-138,Чоловік,45
5-139,Жінка,63
5-140,Жінка,49
5-142,Чоловік,50
5-144,Чоловік,27
5-145,Чоловік,21
5-146,Жінка,23
5-147,Чоловік,35
5-148,Чоловік,36
5-149,Чоловік,53
5-150,Чоловік,13
5-151,Чоловік,60
5-152,Чоловік,38
5-153,Жінка,24
5-154,Жінка,53
5-155,Чоловік,20
5-156,Чоловік,24
5-157,Жінка,58
5-158,Жінка,60
5-159,Жінка,41
5-160,Жінка,51
5-161,Жінка,24
5-162,Жінка,50
5-166,Жінка,23
5-168,Жінка,25
5-170,Чоловік,24
5-171,Жінка,40
5-172,Жінка,23
5-174,Чоловік,25
5-175,Чоловік,23
5-176,Чоловік,33
5-177,Жінка,31
5-179,Чоловік,37
5-180,Чоловік,32
5-181,Жінка,18
5-182,Чоловік,61
5-183,Чоловік,16
5-184,Чоловік,48
5-186,Жінка,38
5-187,Чоловік,38
5-188,Чоловік,29
5-189,Чоловік,29
5-190,Чоловік,42
5-191,Жінка,37
5-192,Чоловік,43
5-193,Жінка,33
5-194,Чоловік,28
5-195,Жінка,46
5-196,Жінка,24
5-197,Жінка,43
5-198,Жінка,44
5-199,Чоловік,29
5-200,Жінка,28
5-201,Жінка,43
5-202,Жінка,24
5-203,Жінка,23
5-204,Жінка,24
5-205,Жінка,25
5-206,Жінка,41
5-207,Чоловік,25
5-209,Жінка,24
5-210,Жінка,49
5-211,Чоловік,21
5-212,Чоловік,24
5-213,Чоловік,34
5-214,Жінка,36
