"","Superfamily","Family","Genus","species","TotalBodyMass_mg","HeadWidth_mm","BrM_mg_scaled","Nuclei","StDev","CV"
"1","Formicoidea","Formicidae","Acromyrmex","versicolor",16.38,2.08,0.08,21578,8067,0.37385
"2","Formicoidea","Formicidae","Acromyrmex","versicolor",13.07,2.08,0.1,22208,6782,0.30539
"5","Formicoidea","Formicidae","Acromyrmex","versicolor",5.06,1.99,0.09,55575,19973,0.35938
"6","Formicoidea","Formicidae","Acromyrmex","versicolor",7,2.1,0.09,60288,15020,0.24914
"7","Formicoidea","Formicidae","Acromyrmex","versicolor",5.8,1.88,0.15,66463,21686,0.32629
"8","Formicoidea","Formicidae","Acromyrmex","versicolor",7,2,0.1,68900,17404,0.2526
"9","Formicoidea","Formicidae","Acromyrmex","versicolor",5.83,1.92,0.09,69588,18602,0.26731
"10","Formicoidea","Formicidae","Acromyrmex","versicolor",12.93,2.07,0.13,70245,26157,0.37237
"11","Formicoidea","Formicidae","Acromyrmex","versicolor",2.25,1.44,NA,71775,10930,0.15229
"12","Formicoidea","Formicidae","Acromyrmex","versicolor",1.91,1.44,0.08,73288,22807,0.3112
"14","Formicoidea","Formicidae","Acromyrmex","versicolor",4.93,2.06,0.07,81824,17993,0.21989
"15","Formicoidea","Formicidae","Acromyrmex","versicolor",6.9,1.99,0.14,85275,14531,0.17041
"16","Formicoidea","Formicidae","Acromyrmex","versicolor",5.47,2.08,0.1,90838,24132,0.26567
"17","Formicoidea","Formicidae","Acromyrmex","versicolor",7.71,2.21,0.11,93813,17887,0.19067
"18","Formicoidea","Formicidae","Acromyrmex","versicolor",5.45,1.95,0.11,100750,24417,0.24235
"19","Formicoidea","Formicidae","Acromyrmex","versicolor",5.01,2.03,0.12,115375,38470,0.33343
"20","Formicoidea","Formicidae","Acromyrmex","versicolor",5.9,1.82,0.1,117800,17745,0.15063
"21","Formicoidea","Formicidae","Acromyrmex","versicolor",1.6,1.2,NA,NA,NA,NA
"22","Formicoidea","Formicidae","Acromyrmex","versicolor",4.23,1.78,NA,NA,NA,NA
"23","Formicoidea","Formicidae","Acromyrmex","versicolor",2.02,1.37,NA,NA,NA,NA
"24","Formicoidea","Formicidae","Acromyrmex","versicolor",6.16,2.02,NA,NA,NA,NA
"25","Formicoidea","Formicidae","Acromyrmex","versicolor",2.91,1.52,NA,NA,NA,NA
"26","Formicoidea","Formicidae","Acromyrmex","versicolor",3.9,1.72,NA,NA,NA,NA
"27","Formicoidea","Formicidae","Acromyrmex","versicolor",3.58,1.67,NA,NA,NA,NA
"28","Formicoidea","Formicidae","Acromyrmex","versicolor",5.26,1.99,NA,NA,NA,NA
"29","Formicoidea","Formicidae","Acromyrmex","versicolor",4.06,1.7,NA,NA,NA,NA
"30","Formicoidea","Formicidae","Acromyrmex","versicolor",6.83,1.89,NA,NA,NA,NA
"31","Formicoidea","Formicidae","Acromyrmex","versicolor",6.61,1.92,NA,NA,NA,NA
"32","Formicoidea","Formicidae","Acromyrmex","versicolor",3.14,1.61,NA,NA,NA,NA
"33","Formicoidea","Formicidae","Acromyrmex","versicolor",5.11,1.93,NA,NA,NA,NA
"34","Formicoidea","Formicidae","Acromyrmex","versicolor",3.57,1.67,NA,NA,NA,NA
"35","Formicoidea","Formicidae","Acromyrmex","versicolor",8.42,2.06,NA,NA,NA,NA
"36","Formicoidea","Formicidae","Acromyrmex","versicolor",2.24,1.22,NA,NA,NA,NA
"37","Formicoidea","Formicidae","Acromyrmex","versicolor",6.6,1.84,NA,NA,NA,NA
"38","Formicoidea","Formicidae","Acromyrmex","versicolor",3.34,1.51,NA,NA,NA,NA
"39","Formicoidea","Formicidae","Acromyrmex","versicolor",6.85,1.92,NA,NA,NA,NA
"40","Pompiloidea","Pompilidae","Anoplius","sp.",163,4.61,5.2,NA,NA,NA
"43","Apoidea","Apidae","Apis","mellifera",61.2,3.58,1.85,401700,78168,0.19459
"45","Apoidea","Apidae","Apis","mellifera",68.2,3.72,2.64,497813,97609,0.19607
"46","Apoidea","Apidae","Apis","mellifera",77.1,3.68,2.06,499850,72215,0.14447
"48","Apoidea","Apidae","Apis","mellifera",88.8,3.65,1.96,514800,87424,0.16982
"49","Apoidea","Apidae","Apis","mellifera",57.4,3.76,1.76,515850,57403,0.11128
"50","Apoidea","Apidae","Apis","mellifera",124.5,3.71,2.01,516750,86477,0.16735
"51","Apoidea","Apidae","Apis","mellifera",117.5,3.79,2,525525,87019,0.16558
"53","Apoidea","Apidae","Apis","mellifera",90.4,3.67,2.2,540000,93238,0.17266
"54","Apoidea","Apidae","Apis","mellifera",67.4,3.67,2.4,541500,95886,0.17708
"55","Apoidea","Apidae","Apis","mellifera",66.2,3.68,1.43,556563,95236,0.17111
"56","Apoidea","Apidae","Apis","mellifera",85.8,3.7,2.14,587965,103048,0.17526
"57","Apoidea","Apidae","Apis","mellifera",121.4,3.77,1.88,588900,95773,0.16263
"58","Apoidea","Apidae","Apis","mellifera",58.1,3.61,2.1,625425,160419,0.2565
"60","Apoidea","Apidae","Apis","mellifera",71.8,3.73,1.77,633750,130788,0.20637
"61","Apoidea","Apidae","Apis","mellifera",75.6,3.63,1.98,637725,153511,0.24072
"63","Apoidea","Apidae","Apis","mellifera",77.2,3.77,2.05,666000,58538,0.08789
"64","Apoidea","Apidae","Apis","mellifera",72.4,3.71,2.4,669800,122313,0.18261
"65","Apoidea","Apidae","Apis","mellifera",80.6,3.75,2.64,688870,92210,0.13386
"67","Apoidea","Apidae","Apis","mellifera",84.2,3.66,1.95,737500,167852,0.2276
"68","Apoidea","Apidae","Apis","mellifera",70,3.6,1.7,750750,87703,0.11682
"69","Apoidea","Apidae","Apis","mellifera",67.7,3.9,1.58,819795,127502,0.15553
"70","Apoidea","Apidae","Apis","mellifera",95.3,3.8,2.62,978305,184705,0.1888
"71","Apoidea","Apidae","Apis","mellifera",108,NA,1.88,NA,NA,NA
"72","Apoidea","Apidae","Apis","mellifera",96.3,NA,1.93,NA,NA,NA
"73","Apoidea","Apidae","Apis","mellifera",88.2,3.71,1.96,NA,NA,NA
"74","Apoidea","Apidae","Apis","mellifera",104.5,3.72,2.04,NA,NA,NA
"75","Apoidea","Apidae","Apis","mellifera",66.9,3.76,2.08,NA,NA,NA
"76","Apoidea","Apidae","Apis","mellifera",66.5,3.77,2.13,NA,NA,NA
"77","Apoidea","Apidae","Apis","mellifera",78.7,3.55,2.35,NA,NA,NA
"78","Apoidea","Apidae","Apis","mellifera",68.1,3.6,2.37,NA,NA,NA
"79","Apoidea","Apidae","Apis","mellifera",73.7,3.78,2.46,NA,NA,NA
"80","Apoidea","Apidae","Apis","mellifera",77.1,3.66,2.57,NA,NA,NA
"81","Apoidea","Apidae","Apis","mellifera",111.2,3.72,NA,NA,NA,NA
"82","Apoidea","Apidae","Apis","mellifera",78.5,3.7,NA,NA,NA,NA
"83","Apoidea","Apidae","Apis","mellifera",79.8,3.55,NA,NA,NA,NA
"84","Apoidea","Apidae","Apis","mellifera",66.6,3.66,1.91,NA,NA,NA
"87","Apoidea","Apidae","Apis","mellifera",76.1,3.7,2.2,NA,NA,NA
"88","Apoidea","Apidae","Apis","mellifera",75.1,3.65,1.93,NA,NA,NA
"89","Apoidea","Apidae","Apis","mellifera",73.06,3.94,3.6,NA,NA,NA
"90","Apoidea","Apidae","Apis","mellifera",76.17,3.98,3.91,NA,NA,NA
"104","Apoidea","Halictidae","Augochlorella","sp.",16.7,1.87,0.31,400238,59327,0.14823
"106","Apoidea","Halictidae","Augochlorella","sp.",12,1.64,0.19,458250,107839,0.23533
"109","Apoidea","Halictidae","Augochlorella","sp.",18.6,2.12,0.38,510900,34837,0.06819
"110","Apoidea","Halictidae","Augochlorella","sp.",9.3,1.65,0.23,594263,182398,0.30693
"111","Apoidea","Halictidae","Augochlorella","sp.",10.3,1.8,0.3,597969,72925,0.12195
"112","Apoidea","Halictidae","Augochlorella","sp.",10.4,1.86,0.2,636675,182365,0.28643
"113","Apoidea","Apidae","Bombus","impatiens",NA,2.63,1.38,154305,27362,0.17732
"114","Apoidea","Apidae","Bombus","impatiens",NA,2.78,1.79,205860,26661,0.12951
"116","Apoidea","Apidae","Bombus","impatiens",142,3.74,2.3,256225,43616,0.17022
"117","Apoidea","Apidae","Bombus","impatiens",163.5,3.63,2.75,273800,52362,0.19124
"118","Apoidea","Apidae","Bombus","impatiens",64.3,2.8,1.98,305030,66114,0.21675
"119","Apoidea","Apidae","Bombus","impatiens",109,3.2,1.82,309225,71406,0.23092
"120","Apoidea","Apidae","Bombus","impatiens",22.5,2.53,1.32,312500,38864,0.12437
"121","Apoidea","Apidae","Bombus","impatiens",202.9,4.12,2.2,324750,57992,0.17858
"122","Apoidea","Apidae","Bombus","impatiens",43.86,2.88,0.92,359688,36038,0.10019
"123","Apoidea","Apidae","Bombus","impatiens",74.4,3.05,1.21,368550,58101,0.15765
"124","Apoidea","Apidae","Bombus","impatiens",136.3,3.69,2.63,381150,62873,0.16496
"125","Apoidea","Apidae","Bombus","impatiens",84.2,2.8,1.24,389513,50425,0.12946
"126","Apoidea","Apidae","Bombus","impatiens",NA,3.95,2.8,391875,46215,0.11793
"127","Apoidea","Apidae","Bombus","impatiens",60.75,2.93,0.97,400313,79187,0.19781
"128","Apoidea","Apidae","Bombus","impatiens",78.2,3.24,2.61,403260,31938,0.0792
"129","Apoidea","Apidae","Bombus","impatiens",40.6,2.79,1.81,408900,126095,0.30838
"130","Apoidea","Apidae","Bombus","impatiens",176,3.97,3.32,411825,107358,0.26069
"131","Apoidea","Apidae","Bombus","impatiens",202.9,3.74,2.59,424518,110574,0.26047
